Genre,Reports,Age,Year,Count,Gender,Nationality,Resolution,Student Name,Ticket ID,Student_ID,GPA
International student experiences,"4. I appreciate the efforts the university has made to create a diverse and inclusive environment, but as an international student, I still feel like an outsider. It's hard to find common ground with people who have such different experiences and perspectives.",24,Second,1,Male,France,Create a feedback system for international students to share their experiences and suggest improvements to campus services.,Terry Nicholls,TKT-651391,STU954,1.6803
International student experiences,"5. I've been trying to improve my language skills and learn more about the culture of the country I'm studying in, but it's a slow process. Sometimes it feels like there's a language barrier that's impossible to overcome.",26,Fifth,1,Male,France,Provide access to online language courses and resources to help international students improve their language skills at their own pace.,Stewart Palmer,TKT-228078,STU955,2.862
International student experiences,"6. I think it would be helpful if the university organized more events and activities that are specifically designed to bring international and domestic students together. That way, we could learn from each other and build stronger relationships.",23,Fourth,1,Male,France,Organize study groups for international students to help them collaborate and succeed academically.,Kenneth Powell,TKT-954835,STU956,3.3868
International student experiences,"7. I appreciate the efforts of my fellow students to include me in their social circles, but sometimes I feel like they're just being polite and don't really want to get to know me. It's hard to know how to approach these situations.",20,Third,1,Female,France,"Develop a mobile app with resources for international students, including language tools, event calendars, and support services.",Kelly Carter,TKT-490396,STU957,2.6138
International student experiences,8. I wish the university offered more language classes and tutoring services for international students. It can be difficult to keep up with coursework when you're struggling to understand the language.,27,First,1,Male,France,Offer workshops on public speaking and presentation skills to help international students build confidence in academic and professional settings.,Graeme Collier,TKT-803242,STU958,1.9246
International student experiences,9. I think it's important for the university to recognize the challenges that international students face and provide more support and resources to help us succeed academically and socially.,26,First,1,Male,France,Provide scholarships or financial aid specifically for international students to reduce financial stress.,Damien Duffy,TKT-367603,STU959,1.5
International student experiences,10. Sometimes I feel like my cultural background is a barrier to making friends and fitting in with the rest of the student body. It's hard to know how to bridge that gap and find common ground with people who have such different experiences than me.,20,First,1,Female,France,Create a cultural exchange program for sharing traditions and customs.,Gillian Hicks,TKT-151475,STU960,1.7171
International student experiences,"11. I appreciate the efforts of my professors and classmates to help me feel included and supported, but there are still times when I feel like I'm on the outside looking in. It's a tough position to be in.",20,Fourth,1,Male,France,Provide training for faculty on how to support international students in the classroom and beyond.,Dominic Clark,TKT-955310,STU961,3.144
International student experiences,"12. I think it would be helpful if the university provided more opportunities for international students to get involved in campus organizations and clubs. That way, we could meet more people and feel more connected to the campus community.",27,Third,1,Male,France,Organize networking events tailored to international students to help them build professional connections.,Damien Bell,TKT-205403,STU962,2.6696
International student experiences,13. I sometimes feel like I'm not taken seriously or my ideas aren't valued because of my accent or the way I express myself. It's discouraging and makes me feel like I don't belong.,18,Fourth,1,Female,France,Offer workshops on overcoming language barriers and building confidence in academic and social settings.,Gillian Moss,TKT-298990,STU963,3.429
International student experiences,"14. I appreciate the efforts of the university to create a welcoming environment for international students, but sometimes it feels like a lot of the burden is placed on us to adapt and assimilate. It would be nice to have more support and understanding from the rest of the campus community.",18,First,1,Male,France,Create a cultural awareness campaign to educate the campus community about the challenges faced by international students.,Anthony Quinn,TKT-152449,STU964,1.8611
International student experiences,"15. I've been trying to connect with other international students who speak the same language as me, but it's been difficult to find people who share my interests and hobbies. It can be isolating.",25,Fifth,1,Female,France,Host regular social events specifically for international students to help them build friendships and feel less isolated.,Lauren Stokes,TKT-618135,STU965,3.1988
International student experiences,"16. I think it's important for the university to provide more cultural competency training for all students and faculty. That way, we can all learn how to better communicate and interact with people from different backgrounds.",25,Fourth,1,Male,France,Provide training for faculty on how to support international students in the classroom and beyond.,Jason Moore,TKT-627980,STU966,3.6286
International student experiences,"17. Sometimes I feel like my language and cultural differences are all people see when they look at me. I want to be recognized for my talents and abilities, not just my background.",27,First,1,Male,France,"Create a career support program for international students, including resume building and interview preparation in multiple languages.",Steven Duncan,TKT-922635,STU967,2.9659
